walletid,Wallet Create Date,Wallet Create Stage,Movement 202101,Movement 202102,Movement 202103,Movement 202104,Movement 202101 - 202104
GKQKb9Huw8BejpbcvBKihDV4NFSybFRvwP,20200927,Pre Launch,0.00,0.00,-2 678 624.46,0.00,-2 678 624.46
GgcnMWWjKGxHMkLDoMuMwaBZQRo9mEH97i,20200928,Pre Launch,0.00,0.00,-2 677 200.96,0.00,-2 677 200.96
GPpvjGjyLZzxvy299ETxs3DDTsGf9hitJx,20200930,Pre Launch,0.00,0.00,-2 676 988.31,0.00,-2 676 988.31
GezowLMa1aKCorVgTBCR8hUqx47TRnkiLc,20200929,Pre Launch,0.00,0.00,-2 676 914.32,0.00,-2 676 914.32
Gf8kXqc9qtwLg2jg86E4UfhidxfZ2AKRap,20200929,Pre Launch,0.00,0.00,-2 676 029.05,0.00,-2 676 029.05
GfKD3SBfGMucQHoi1dijUGHSAr6AyWA3Kg,20200929,Pre Launch,0.00,0.00,-2 675 376.51,0.00,-2 675 376.51
GMvBLmqyab2LiNdWwJM3kKjbvkac76CkED,20200928,Pre Launch,0.00,0.00,-2 675 372.78,0.00,-2 675 372.78
GZdWe4boRSJjsjBwUqDzkSC2fjQJFwkwaq,20201001,Pre Launch,0.00,0.00,-2 675 008.25,0.00,-2 675 008.25
GM1btGvbGteDLQikvNvhzmyEM8caizRx3G,20200930,Pre Launch,0.00,0.00,-2 674 937.46,0.00,-2 674 937.46
GKB1nfWUDzTayLkUJuodnr9APpt3tyoyrZ,20200928,Pre Launch,0.00,0.00,-2 674 272.37,0.00,-2 674 272.37
GTg7PoJKNqyyHNANN6ZjeaZyooCNzesdVo,20200930,Pre Launch,0.00,0.00,-2 674 076.69,0.00,-2 674 076.69
GQq874UBywRRs3C8awWQkdig1wt9wErqDT,20200927,Pre Launch,0.00,0.00,-2 673 414.46,0.00,-2 673 414.46
GaGE63pcUfTB8ujwcwXTPKuS7kbY5qUCxP,20200928,Pre Launch,0.00,0.00,-2 672 245.53,0.00,-2 672 245.53
GMRAkmNEKhXc8Pz8HP2kAoGuaz9afFEX5M,20200929,Pre Launch,0.00,0.00,-2 672 081.14,0.00,-2 672 081.14
GeUfgosRWZt5iQJaHQTKHxVJgbLsVkeLoS,20201001,Pre Launch,0.00,0.00,-2 671 601.98,0.00,-2 671 601.98
GQE38hhyM9xfL8NTJVkkwzLa6AVRmH6Z7V,20200928,Pre Launch,0.00,0.00,-2 671 545.00,0.00,-2 671 545.00
GdwtdzamPFuN9GLwT3Q5SaChKdHRsyhLmF,20200928,Pre Launch,0.00,0.00,-2 671 268.57,0.00,-2 671 268.57
GLyWdMP9cGMEuTnkV1p6t6ACqm4C7x2qfY,20200930,Pre Launch,0.00,0.00,-2 670 900.65,0.00,-2 670 900.65
GeUjz3EpuSrJWuqL1fSjpHqCANWUo3G7En,20201001,Pre Launch,0.00,0.00,-2 670 067.87,0.00,-2 670 067.87
GSbaamw4VfaJUPpPxcbghc6dEn8uFxssyG,20200929,Pre Launch,0.00,0.00,-2 669 438.75,0.00,-2 669 438.75
GZm6exzJMez6XDqTTqezHCfrXggA2xw3Gz,20201001,Pre Launch,0.00,0.00,-2 668 578.01,0.00,-2 668 578.01
